timestamp,city,latitude,longitude,temperature_2m,relative_humidity_2m,precipitation,rain,surface_pressure,wind_speed_10m,wind_direction_10m,cloud_cover,soil_temperature_0cm,soil_moisture_0_to_1cm
2026-05-13T20:00,Chennai,13.0827,80.2707,30.1,74,0.0,0.0,1002.9,11.9,63,99,,
2026-05-13T21:00,Chennai,13.0827,80.2707,30.0,75,0.0,0.0,1003.7,11.2,64,100,,
2026-05-13T22:00,Chennai,13.0827,80.2707,29.9,77,0.0,0.0,1003.6,10.9,70,100,,
2026-05-13T23:00,Chennai,13.0827,80.2707,29.5,80,0.0,0.0,1002.2,7.9,60,100,,
2026-05-14T00:00,Chennai,13.0827,80.2707,29.2,81,0.0,0.0,1001.1,5.7,28,100,,
2026-05-14T01:00,Chennai,13.0827,80.2707,29.0,81,0.0,0.0,1000.4,6.1,2,98,,
2026-05-14T02:00,Chennai,13.0827,80.2707,28.7,82,0.0,0.0,999.6,8.9,336,96,,
2026-05-14T03:00,Chennai,13.0827,80.2707,28.4,84,0.0,0.0,999.9,6.3,323,98,,
2026-05-14T04:00,Chennai,13.0827,80.2707,28.3,84,0.0,0.0,1000.7,4.6,306,95,,
2026-05-14T05:00,Chennai,13.0827,80.2707,28.3,85,0.0,0.0,1000.8,8.2,337,54,,
2026-05-14T06:00,Chennai,13.0827,80.2707,28.5,84,0.0,0.0,1001.7,7.7,336,90,,
2026-05-14T07:00,Chennai,13.0827,80.2707,29.6,77,0.0,0.0,1002.6,5.0,334,98,,
2026-05-14T08:00,Chennai,13.0827,80.2707,30.8,70,0.0,0.0,1003.5,6.4,25,100,,
2026-05-14T09:00,Chennai,13.0827,80.2707,31.6,64,0.3,0.3,1004.2,10.7,45,87,,
2026-05-14T10:00,Chennai,13.0827,80.2707,33.0,59,0.1,0.1,1003.9,11.1,42,21,,
2026-05-14T11:00,Chennai,13.0827,80.2707,34.0,52,0.0,0.0,1003.2,11.5,40,98,,
2026-05-14T12:00,Chennai,13.0827,80.2707,33.3,55,0.1,0.1,1002.4,14.6,46,99,,
2026-05-14T13:00,Chennai,13.0827,80.2707,33.2,58,0.1,0.1,1001.6,14.3,42,98,,
2026-05-14T14:00,Chennai,13.0827,80.2707,33.1,59,0.0,0.0,1000.7,16.1,42,100,,
2026-05-14T15:00,Chennai,13.0827,80.2707,32.3,62,0.0,0.0,1000.4,14.2,41,99,,
2026-05-14T16:00,Chennai,13.0827,80.2707,31.8,64,0.0,0.0,1000.4,11.8,54,100,,
2026-05-14T17:00,Chennai,13.0827,80.2707,31.5,70,0.0,0.0,1000.3,11.1,56,100,,
2026-05-14T18:00,Chennai,13.0827,80.2707,30.5,74,0.0,0.0,1000.9,9.5,57,100,,
2026-05-14T19:00,Chennai,13.0827,80.2707,30.1,76,0.0,0.0,1001.6,6.8,68,99,,
2026-05-14T20:00,Chennai,13.0827,80.2707,29.9,78,0.0,0.0,1002.4,6.0,80,95,,
2026-05-14T21:00,Chennai,13.0827,80.2707,29.8,78,0.0,0.0,1003.1,4.0,54,95,,
2026-05-14T22:00,Chennai,13.0827,80.2707,29.6,79,0.0,0.0,1003.1,5.2,41,99,,
2026-05-14T23:00,Chennai,13.0827,80.2707,30.1,80,0.0,0.0,1002.5,4.3,66,99,,
